id,userId,type,name,representative,phone,email,location,comment,createdAt,updatedAt
37,1,,Converge,,9785388066,,n/a,cpus,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
39,1,,HPFS - Linda / Chris,,NA,,MA,Chris Zackman,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
40,1,,B-tech NL,,na,,netherlands,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
60,1,,Controlled Networks,,2017518001,,na,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
61,1,,SSN,,2034330808,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
62,1,,EAF Gmbh,,na,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
63,1,,Amazon Micro Tech,,na,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
64,1,,Vista,,na,,"Grand Rapids, MI",Many reps,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
65,1,,Summit Information Systems,,6512098346,,"2935 Waters Rd. Suite 200Eagan, MN 55121",na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
87,1,,MSP DATA,,407-265-1008 ,,Florida,rep: Shaukat,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
88,1,,cube components,,843-824-4156 ,,"3401 Salterbeck CourtSTE 202Mt Pleasant, SC 29466",n/a,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
89,1,,EXAMPLE,,5550123,,EXAMPLE22,EXAMPLE,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
90,1,,Core 3,,NA,,Irvine CA,many reps,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
91,1,,MyCom,,NA,,"CA, USA",Lily,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
92,1,,Procurri,,NA,,"GA, USA",HP team,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
93,1,,DMS,,NA,,"CA, USA",many reps,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
94,1,,Circle Computers ,,508-668-8778 ,,"MA, USA",REP: BM,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
95,1,,Serverschmiede.com GmbH,,00493760218538 ,,Germany,Alexander Graf,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
96,1,,US Computer Support,,2627207470,,"17145 W. Bluemound RdSuite J-205Brookfield, WI  53005",na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
97,1,,MTS IT Systems,,7142138614,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
98,1,,mycom ,,4084560389,,"2176 RINGWOOD AVE. San Jose, CA 95131 ",cpus,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
99,1,,Solid Systems Global SA ,,7069087113,,8th Ave corner of wessel road  Johannesburg ,Nidhi Purcahsing manager Pathik Joshi  Accounting   South Africa ,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
100,1,,Solid Tech India Computer Servies,,7069087113,,"208,Pinnacle Business Park,Corporate Road, Nr.Prahlad Nagar Garden,Ahmedabad - 380015Gujarat  ( India )",n/a,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
101,1,,Solid Tech India Computer Servies,,7069087113,,"208,Pinnacle Business Park,Corporate Road, Nr.Prahlad Nagar Garden,Ahmedabad - 380015Gujarat  ( India )",n/a,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
102,1,,Mitech,,4078304939,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
103,1,,Thomas Tech ,,330-225-3117 ,,"620 E Smith Rd, Unit D Medina, OH 44256 USA",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
104,1,,Amazon Computer Technology,,4079515733,,na,na,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
105,1,,Stallard Tech,,NA,,Kansas USA,Joe. Savvy CPU Guy,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
106,1,,MGI INC,,608-509-4058,,"709 Gillette St. Suite 5 La Crosse, WI 54603 USA",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
107,1,,MGI INC,,608-509-4058,,"709 Gillette St. Suite 5 La Crosse, WI 54603 USA",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
108,1,,MGI INC,,608-509-4058,,"709 Gillette St. Suite 5 La Crosse, WI 54603 USA",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
109,1,,MGI INC,,608-509-4058,,"709 Gillette St. Suite 5 La Crosse, WI 54603 USA",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
110,1,,MGI INC,,608-509-4058,,"709 Gillette St. Suite 5 La Crosse, WI 54603 USA",N/A,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
111,1,,ItemNet International Inc,,905-477-3009,,20 Steelcase Rd W. Unit 7Markham ON L3R 1B2 ,.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
112,1,,DTC Computer Supplies,,909-466-7680,,"9033 9th StreetRancho Cucamonga, CA 91730 ",.,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
113,1,,Service Parts Logistics,,none,,Honeydew Johannesburg,none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
114,1,,Epoka A/S,,0,,"Svenstrup, DNK",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
115,1,,ANTS Parts Tecnologia u Sistemas SAS,,0,,"Bogota, COL",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
116,1,,Kimbrer Computers APS,,0,,"Aars, DNK",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
117,1,,Globecom,,0,,"Aalborg, DNK",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
118,1,,Procurri Eurpe Warrington (FKA EAF Supply Chain) ,,0,,"Risley, Warrington, Cheshire, GBR",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
119,1,,Top 5 Technologies,,0,,"Hugo, MN",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
120,1,,Travion IT Distribution B.V.,,0,,"Nijmegen, NLD",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
121,1,,Macle GmbH,,0,,"Goch, DEU",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
122,1,,Micro-D LTD,,0,,"Manchester, GBR",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
123,1,,GlobalTek Components LLC ,,0,,"Dover, USA",CEO - Jason ,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
124,1,,Cxtec,,0,,"Syracuse, USA",None,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
125,1,,Elarasys Worldwide,,0,,"Elgin, USA",None,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
126,1,,Brute Networks ,,0,,"Portland, USA",none,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
